course_name,skills,provider,duration_weeks
Tableau Fundamentals 1,Tableau,LinkedIn Learning,3
Power BI Fundamentals 2,Power BI,Pluralsight,12
Data Science Fundamentals 3,Data Science,Coursera,3
CI/CD Fundamentals 4,CI/CD,Coursera,9
Vue.js Fundamentals 5,Vue.js,edX,8
IoT Fundamentals 6,IoT,LinkedIn Learning,6
Machine Learning Fundamentals 7,Machine Learning,Skillshare,12
Blockchain Fundamentals 8,Blockchain,LinkedIn Learning,6
Java Fundamentals 9,Java,edX,10
C++ Fundamentals 10,C++,edX,12
OpenCV Fundamentals 11,OpenCV,Udemy,12
AR Fundamentals 12,AR,LinkedIn Learning,10
PyTorch Fundamentals 13,PyTorch,LinkedIn Learning,11
TensorFlow Fundamentals 14,TensorFlow,Skillshare,9
Angular Fundamentals 15,Angular,Coursera,5
Django Fundamentals 16,Django,edX,5
DevOps Fundamentals 17,DevOps,Coursera,7
Data Science Fundamentals 18,Data Science,Skillshare,9
R Fundamentals 19,R,Pluralsight,2
Java Fundamentals 20,Java,LinkedIn Learning,10
Power BI Fundamentals 21,Power BI,Pluralsight,7
IoT Fundamentals 22,IoT,Pluralsight,3
Unity Fundamentals 23,Unity,Coursera,11
IoT Fundamentals 24,IoT,Coursera,2
Excel Fundamentals 25,Excel,LinkedIn Learning,9
Microservices Fundamentals 26,Microservices,edX,8
React Fundamentals 27,React,Coursera,9
Vue.js Fundamentals 28,Vue.js,Skillshare,10
Java Fundamentals 29,Java,Coursera,9
TypeScript Fundamentals 30,TypeScript,LinkedIn Learning,6
CI/CD Fundamentals 31,CI/CD,edX,9
Java Fundamentals 32,Java,edX,11
PyTorch Fundamentals 33,PyTorch,Coursera,8
DevOps Fundamentals 34,DevOps,edX,11
Machine Learning Fundamentals 35,Machine Learning,LinkedIn Learning,7
Python Fundamentals 36,Python,Udemy,5
Azure Fundamentals 37,Azure,LinkedIn Learning,3
Metaverse Fundamentals 38,Metaverse,Udemy,12
GCP Fundamentals 39,GCP,LinkedIn Learning,7
C# Fundamentals 40,C#,Udemy,2
Angular Fundamentals 41,Angular,Pluralsight,8
Azure Fundamentals 42,Azure,Coursera,2
Node.js Fundamentals 43,Node.js,Coursera,11
Unity Fundamentals 44,Unity,Udemy,4
Tableau Fundamentals 45,Tableau,Pluralsight,9
Node.js Fundamentals 46,Node.js,edX,4
DevOps Fundamentals 47,DevOps,Udemy,2
AR Fundamentals 48,AR,Skillshare,3
VR Fundamentals 49,VR,Coursera,11
Tableau Fundamentals 50,Tableau,LinkedIn Learning,2
OpenCV Fundamentals 51,OpenCV,Udemy,5
C# Fundamentals 52,C#,Pluralsight,6
Node.js Fundamentals 53,Node.js,LinkedIn Learning,7
Microservices Fundamentals 54,Microservices,Udemy,10
IoT Fundamentals 55,IoT,Pluralsight,8
AR Fundamentals 56,AR,Pluralsight,10
Python Fundamentals 57,Python,LinkedIn Learning,11
C++ Fundamentals 58,C++,Pluralsight,10
Deep Learning Fundamentals 59,Deep Learning,Skillshare,8
Spring Boot Fundamentals 60,Spring Boot,Pluralsight,10
TensorFlow Fundamentals 61,TensorFlow,edX,11
Machine Learning Fundamentals 62,Machine Learning,Skillshare,5
JavaScript Fundamentals 63,JavaScript,edX,7
TypeScript Fundamentals 64,TypeScript,edX,12
Spring Boot Fundamentals 65,Spring Boot,Pluralsight,3
Power BI Fundamentals 66,Power BI,Udemy,5
TypeScript Fundamentals 67,TypeScript,Coursera,4
NLP Fundamentals 68,NLP,Coursera,12
Java Fundamentals 69,Java,Udemy,8
Power BI Fundamentals 70,Power BI,LinkedIn Learning,2
IoT Fundamentals 71,IoT,edX,8
Spring Boot Fundamentals 72,Spring Boot,Udemy,4
Cloud Computing Fundamentals 73,Cloud Computing,LinkedIn Learning,9
IoT Fundamentals 74,IoT,edX,9
C++ Fundamentals 75,C++,Pluralsight,6
AI Fundamentals 76,AI,Skillshare,9
Kubernetes Fundamentals 77,Kubernetes,Coursera,10
Robotics Fundamentals 78,Robotics,edX,4
C# Fundamentals 79,C#,Udemy,11
Microservices Fundamentals 80,Microservices,LinkedIn Learning,8
NoSQL Fundamentals 81,NoSQL,edX,2
Data Science Fundamentals 82,Data Science,Skillshare,6
Power BI Fundamentals 83,Power BI,LinkedIn Learning,10
Metaverse Fundamentals 84,Metaverse,Skillshare,2
Metaverse Fundamentals 85,Metaverse,LinkedIn Learning,5
Spark Fundamentals 86,Spark,Udemy,7
Robotics Fundamentals 87,Robotics,Coursera,4
GCP Fundamentals 88,GCP,Udemy,10
Microservices Fundamentals 89,Microservices,Pluralsight,12
Hadoop Fundamentals 90,Hadoop,Udemy,4
CI/CD Fundamentals 91,CI/CD,Skillshare,9
Quantum Computing Fundamentals 92,Quantum Computing,LinkedIn Learning,12
Microservices Fundamentals 93,Microservices,Skillshare,11
Spring Boot Fundamentals 94,Spring Boot,LinkedIn Learning,12
Django Fundamentals 95,Django,LinkedIn Learning,3
Flask Fundamentals 96,Flask,Pluralsight,7
Python Fundamentals 97,Python,LinkedIn Learning,2
Hadoop Fundamentals 98,Hadoop,edX,4
Tableau Fundamentals 99,Tableau,LinkedIn Learning,12
SQL Fundamentals 100,SQL,Skillshare,4
Git Fundamentals 101,Git,Skillshare,5
TensorFlow Fundamentals 102,TensorFlow,Pluralsight,11
Azure Fundamentals 103,Azure,Skillshare,10
Robotics Fundamentals 104,Robotics,edX,5
Robotics Fundamentals 105,Robotics,Skillshare,12
Angular Fundamentals 106,Angular,Udemy,2
DevOps Fundamentals 107,DevOps,edX,11
Angular Fundamentals 108,Angular,Pluralsight,3
TensorFlow Fundamentals 109,TensorFlow,Skillshare,8
JavaScript Fundamentals 110,JavaScript,Udemy,5
VR Fundamentals 111,VR,Udemy,8
Flask Fundamentals 112,Flask,edX,2
Azure Fundamentals 113,Azure,LinkedIn Learning,8
C# Fundamentals 114,C#,LinkedIn Learning,6
TensorFlow Fundamentals 115,TensorFlow,Pluralsight,12
Deep Learning Fundamentals 116,Deep Learning,Udemy,11
AR Fundamentals 117,AR,LinkedIn Learning,10
Blockchain Fundamentals 118,Blockchain,edX,7
Node.js Fundamentals 119,Node.js,LinkedIn Learning,7
Microservices Fundamentals 120,Microservices,edX,11
AWS Fundamentals 121,AWS,Coursera,12
Data Science Fundamentals 122,Data Science,Skillshare,11
Robotics Fundamentals 123,Robotics,Udemy,4
Django Fundamentals 124,Django,Skillshare,5
Python Fundamentals 125,Python,Coursera,9
Kubernetes Fundamentals 126,Kubernetes,LinkedIn Learning,5
TensorFlow Fundamentals 127,TensorFlow,LinkedIn Learning,4
Spark Fundamentals 128,Spark,Udemy,7
Kafka Fundamentals 129,Kafka,Coursera,8
SQL Fundamentals 130,SQL,Pluralsight,7
Vue.js Fundamentals 131,Vue.js,Skillshare,7
Excel Fundamentals 132,Excel,Udemy,12
Node.js Fundamentals 133,Node.js,edX,9
Blockchain Fundamentals 134,Blockchain,LinkedIn Learning,6
Vue.js Fundamentals 135,Vue.js,LinkedIn Learning,4
C# Fundamentals 136,C#,Coursera,12
Django Fundamentals 137,Django,Coursera,10
NLP Fundamentals 138,NLP,Skillshare,9
Data Science Fundamentals 139,Data Science,Udemy,6
SQL Fundamentals 140,SQL,LinkedIn Learning,8
Machine Learning Fundamentals 141,Machine Learning,Coursera,6
Vue.js Fundamentals 142,Vue.js,Coursera,11
Data Science Fundamentals 143,Data Science,edX,10
Flask Fundamentals 144,Flask,Coursera,9
C# Fundamentals 145,C#,Skillshare,10
C# Fundamentals 146,C#,Coursera,7
TypeScript Fundamentals 147,TypeScript,LinkedIn Learning,8
Spring Boot Fundamentals 148,Spring Boot,Udemy,10
AWS Fundamentals 149,AWS,edX,9
Data Science Fundamentals 150,Data Science,Udemy,3
Git Fundamentals 151,Git,Udemy,7
Blockchain Fundamentals 152,Blockchain,Udemy,8
VR Fundamentals 153,VR,Udemy,11
PyTorch Fundamentals 154,PyTorch,LinkedIn Learning,2
Angular Fundamentals 155,Angular,LinkedIn Learning,9
R Fundamentals 156,R,Pluralsight,12
Excel Fundamentals 157,Excel,Skillshare,11
Node.js Fundamentals 158,Node.js,Coursera,9
TypeScript Fundamentals 159,TypeScript,Coursera,2
Git Fundamentals 160,Git,Udemy,5
Kubernetes Fundamentals 161,Kubernetes,Coursera,4
NoSQL Fundamentals 162,NoSQL,Pluralsight,2
Quantum Computing Fundamentals 163,Quantum Computing,Udemy,12
Microservices Fundamentals 164,Microservices,Coursera,7
OpenCV Fundamentals 165,OpenCV,Pluralsight,3
AR Fundamentals 166,AR,Skillshare,9
Hadoop Fundamentals 167,Hadoop,LinkedIn Learning,5
PyTorch Fundamentals 168,PyTorch,Udemy,10
AI Fundamentals 169,AI,Pluralsight,7
Power BI Fundamentals 170,Power BI,Coursera,9
AI Fundamentals 171,AI,Udemy,6
Cloud Computing Fundamentals 172,Cloud Computing,LinkedIn Learning,10
SQL Fundamentals 173,SQL,Skillshare,9
Data Science Fundamentals 174,Data Science,Skillshare,10
Microservices Fundamentals 175,Microservices,edX,4
Kubernetes Fundamentals 176,Kubernetes,Skillshare,2
Excel Fundamentals 177,Excel,Udemy,4
Angular Fundamentals 178,Angular,edX,11
Hadoop Fundamentals 179,Hadoop,Pluralsight,5
Excel Fundamentals 180,Excel,edX,2
Power BI Fundamentals 181,Power BI,LinkedIn Learning,5
React Fundamentals 182,React,Coursera,7
Unreal Engine Fundamentals 183,Unreal Engine,edX,2
Microservices Fundamentals 184,Microservices,Skillshare,5
Angular Fundamentals 185,Angular,LinkedIn Learning,4
Metaverse Fundamentals 186,Metaverse,Coursera,6
Git Fundamentals 187,Git,Skillshare,5
Microservices Fundamentals 188,Microservices,edX,11
Kafka Fundamentals 189,Kafka,edX,6
Excel Fundamentals 190,Excel,Skillshare,9
Spring Boot Fundamentals 191,Spring Boot,Coursera,2
Node.js Fundamentals 192,Node.js,edX,6
Quantum Computing Fundamentals 193,Quantum Computing,edX,11
IoT Fundamentals 194,IoT,Udemy,3
Machine Learning Fundamentals 195,Machine Learning,edX,5
Excel Fundamentals 196,Excel,Coursera,8
VR Fundamentals 197,VR,LinkedIn Learning,9
Excel Fundamentals 198,Excel,Pluralsight,3
Robotics Fundamentals 199,Robotics,Udemy,9
C++ Fundamentals 200,C++,Skillshare,12
Cloud Computing Fundamentals 201,Cloud Computing,Skillshare,2
TypeScript Fundamentals 202,TypeScript,Pluralsight,10
Node.js Fundamentals 203,Node.js,Skillshare,10
NoSQL Fundamentals 204,NoSQL,edX,3
Microservices Fundamentals 205,Microservices,Skillshare,2
Vue.js Fundamentals 206,Vue.js,Coursera,10
Deep Learning Fundamentals 207,Deep Learning,Pluralsight,4
Python Fundamentals 208,Python,Skillshare,4
Metaverse Fundamentals 209,Metaverse,Skillshare,4
GCP Fundamentals 210,GCP,Pluralsight,11
AI Fundamentals 211,AI,Skillshare,10
DevOps Fundamentals 212,DevOps,edX,4
TypeScript Fundamentals 213,TypeScript,edX,11
DevOps Fundamentals 214,DevOps,Udemy,6
Unity Fundamentals 215,Unity,edX,9
Excel Fundamentals 216,Excel,LinkedIn Learning,12
IoT Fundamentals 217,IoT,LinkedIn Learning,4
Docker Fundamentals 218,Docker,edX,11
5G Fundamentals 219,5G,Skillshare,5
SQL Fundamentals 220,SQL,edX,12
Java Fundamentals 221,Java,Coursera,12
Git Fundamentals 222,Git,edX,5
Kafka Fundamentals 223,Kafka,Coursera,5
Unity Fundamentals 224,Unity,edX,4
CI/CD Fundamentals 225,CI/CD,Udemy,10
Azure Fundamentals 226,Azure,Coursera,12
5G Fundamentals 227,5G,Pluralsight,3
Flask Fundamentals 228,Flask,LinkedIn Learning,6
Robotics Fundamentals 229,Robotics,Skillshare,11
Django Fundamentals 230,Django,Skillshare,7
GCP Fundamentals 231,GCP,Coursera,10
Spark Fundamentals 232,Spark,Pluralsight,11
TypeScript Fundamentals 233,TypeScript,Coursera,7
Angular Fundamentals 234,Angular,Udemy,12
5G Fundamentals 235,5G,Coursera,7
5G Fundamentals 236,5G,Coursera,11
Robotics Fundamentals 237,Robotics,Pluralsight,5
GCP Fundamentals 238,GCP,LinkedIn Learning,8
5G Fundamentals 239,5G,Pluralsight,2
Node.js Fundamentals 240,Node.js,Skillshare,8
OpenCV Fundamentals 241,OpenCV,Pluralsight,8
Microservices Fundamentals 242,Microservices,edX,5
Tableau Fundamentals 243,Tableau,Skillshare,5
Data Science Fundamentals 244,Data Science,Skillshare,5
Kafka Fundamentals 245,Kafka,edX,4
Quantum Computing Fundamentals 246,Quantum Computing,LinkedIn Learning,5
AR Fundamentals 247,AR,Pluralsight,3
Deep Learning Fundamentals 248,Deep Learning,edX,11
5G Fundamentals 249,5G,edX,6
Django Fundamentals 250,Django,Udemy,12
Metaverse Fundamentals 251,Metaverse,Pluralsight,4
Metaverse Fundamentals 252,Metaverse,LinkedIn Learning,7
Node.js Fundamentals 253,Node.js,Pluralsight,7
C# Fundamentals 254,C#,Coursera,6
AWS Fundamentals 255,AWS,Udemy,12
Deep Learning Fundamentals 256,Deep Learning,Coursera,7
CI/CD Fundamentals 257,CI/CD,edX,6
OpenCV Fundamentals 258,OpenCV,LinkedIn Learning,2
TensorFlow Fundamentals 259,TensorFlow,Udemy,7
AI Fundamentals 260,AI,Skillshare,10
C++ Fundamentals 261,C++,Udemy,7
AR Fundamentals 262,AR,Coursera,12
C# Fundamentals 263,C#,Skillshare,4
5G Fundamentals 264,5G,Coursera,4
JavaScript Fundamentals 265,JavaScript,Coursera,10
Blockchain Fundamentals 266,Blockchain,LinkedIn Learning,7
Power BI Fundamentals 267,Power BI,edX,12
C++ Fundamentals 268,C++,LinkedIn Learning,10
Vue.js Fundamentals 269,Vue.js,LinkedIn Learning,7
Blockchain Fundamentals 270,Blockchain,Udemy,7
5G Fundamentals 271,5G,Udemy,10
Unreal Engine Fundamentals 272,Unreal Engine,Coursera,9
IoT Fundamentals 273,IoT,Coursera,10
Microservices Fundamentals 274,Microservices,Skillshare,9
Spring Boot Fundamentals 275,Spring Boot,edX,10
Node.js Fundamentals 276,Node.js,LinkedIn Learning,10
Vue.js Fundamentals 277,Vue.js,LinkedIn Learning,5
Flask Fundamentals 278,Flask,Skillshare,8
TensorFlow Fundamentals 279,TensorFlow,Coursera,12
Power BI Fundamentals 280,Power BI,LinkedIn Learning,4
DevOps Fundamentals 281,DevOps,Skillshare,6
PyTorch Fundamentals 282,PyTorch,Udemy,3
Kubernetes Fundamentals 283,Kubernetes,Skillshare,8
Git Fundamentals 284,Git,edX,2
TypeScript Fundamentals 285,TypeScript,Udemy,9
C++ Fundamentals 286,C++,Pluralsight,9
Docker Fundamentals 287,Docker,edX,10
Excel Fundamentals 288,Excel,Skillshare,3
TypeScript Fundamentals 289,TypeScript,Udemy,5
TypeScript Fundamentals 290,TypeScript,Pluralsight,7
Blockchain Fundamentals 291,Blockchain,Skillshare,6
Node.js Fundamentals 292,Node.js,LinkedIn Learning,2
Blockchain Fundamentals 293,Blockchain,Coursera,3
TypeScript Fundamentals 294,TypeScript,Coursera,3
Django Fundamentals 295,Django,Coursera,10
OpenCV Fundamentals 296,OpenCV,Pluralsight,4
Django Fundamentals 297,Django,Pluralsight,7
R Fundamentals 298,R,LinkedIn Learning,9
Unity Fundamentals 299,Unity,LinkedIn Learning,6
Kubernetes Fundamentals 300,Kubernetes,Pluralsight,12
DevOps Fundamentals 301,DevOps,edX,3
Power BI Fundamentals 302,Power BI,Skillshare,9
Cloud Computing Fundamentals 303,Cloud Computing,Coursera,12
IoT Fundamentals 304,IoT,Coursera,7
Java Fundamentals 305,Java,Pluralsight,7
NLP Fundamentals 306,NLP,Udemy,10
Kubernetes Fundamentals 307,Kubernetes,Coursera,9
PyTorch Fundamentals 308,PyTorch,Coursera,10
Quantum Computing Fundamentals 309,Quantum Computing,Pluralsight,12
Docker Fundamentals 310,Docker,Udemy,2
R Fundamentals 311,R,Coursera,6
R Fundamentals 312,R,LinkedIn Learning,10
PyTorch Fundamentals 313,PyTorch,LinkedIn Learning,6
Docker Fundamentals 314,Docker,Pluralsight,12
TypeScript Fundamentals 315,TypeScript,LinkedIn Learning,5
Kafka Fundamentals 316,Kafka,LinkedIn Learning,7
OpenCV Fundamentals 317,OpenCV,LinkedIn Learning,7
Python Fundamentals 318,Python,Udemy,2
VR Fundamentals 319,VR,Coursera,4
Angular Fundamentals 320,Angular,Skillshare,11
Unreal Engine Fundamentals 321,Unreal Engine,edX,10
AR Fundamentals 322,AR,LinkedIn Learning,12
AWS Fundamentals 323,AWS,Skillshare,9
Blockchain Fundamentals 324,Blockchain,Skillshare,11
C++ Fundamentals 325,C++,Udemy,11
Kafka Fundamentals 326,Kafka,edX,12
SQL Fundamentals 327,SQL,LinkedIn Learning,3
Spark Fundamentals 328,Spark,edX,9
Unreal Engine Fundamentals 329,Unreal Engine,Udemy,11
5G Fundamentals 330,5G,Udemy,10
VR Fundamentals 331,VR,Skillshare,5
Hadoop Fundamentals 332,Hadoop,edX,6
AWS Fundamentals 333,AWS,Udemy,4
Data Science Fundamentals 334,Data Science,Skillshare,6
NLP Fundamentals 335,NLP,edX,8
JavaScript Fundamentals 336,JavaScript,Pluralsight,2
C# Fundamentals 337,C#,Udemy,11
Flask Fundamentals 338,Flask,Coursera,10
DevOps Fundamentals 339,DevOps,Coursera,3
AI Fundamentals 340,AI,edX,3
Spring Boot Fundamentals 341,Spring Boot,Udemy,3
NLP Fundamentals 342,NLP,LinkedIn Learning,8
TensorFlow Fundamentals 343,TensorFlow,edX,2
C++ Fundamentals 344,C++,Pluralsight,7
VR Fundamentals 345,VR,Coursera,12
TensorFlow Fundamentals 346,TensorFlow,Skillshare,4
5G Fundamentals 347,5G,Coursera,2
Tableau Fundamentals 348,Tableau,edX,10
GCP Fundamentals 349,GCP,Pluralsight,7
Azure Fundamentals 350,Azure,Udemy,3
Hadoop Fundamentals 351,Hadoop,Udemy,6
AWS Fundamentals 352,AWS,Udemy,12
Docker Fundamentals 353,Docker,edX,11
SQL Fundamentals 354,SQL,Skillshare,4
Java Fundamentals 355,Java,edX,10
JavaScript Fundamentals 356,JavaScript,Pluralsight,6
Excel Fundamentals 357,Excel,LinkedIn Learning,9
Angular Fundamentals 358,Angular,LinkedIn Learning,2
AWS Fundamentals 359,AWS,Pluralsight,6
AWS Fundamentals 360,AWS,Skillshare,11
NLP Fundamentals 361,NLP,Skillshare,5
Data Science Fundamentals 362,Data Science,Skillshare,10
OpenCV Fundamentals 363,OpenCV,Udemy,2
PyTorch Fundamentals 364,PyTorch,Udemy,8
Microservices Fundamentals 365,Microservices,edX,4
Node.js Fundamentals 366,Node.js,Skillshare,6
PyTorch Fundamentals 367,PyTorch,edX,3
Tableau Fundamentals 368,Tableau,Udemy,7
C++ Fundamentals 369,C++,Udemy,3
NLP Fundamentals 370,NLP,LinkedIn Learning,7
React Fundamentals 371,React,Coursera,11
C++ Fundamentals 372,C++,LinkedIn Learning,3
Flask Fundamentals 373,Flask,Pluralsight,6
PyTorch Fundamentals 374,PyTorch,Coursera,11
Power BI Fundamentals 375,Power BI,Coursera,9
Quantum Computing Fundamentals 376,Quantum Computing,Udemy,6
Tableau Fundamentals 377,Tableau,Udemy,6
Git Fundamentals 378,Git,Coursera,4
AI Fundamentals 379,AI,Udemy,11
Deep Learning Fundamentals 380,Deep Learning,Pluralsight,6
Django Fundamentals 381,Django,LinkedIn Learning,5
Django Fundamentals 382,Django,Pluralsight,5
Kafka Fundamentals 383,Kafka,Udemy,8
AWS Fundamentals 384,AWS,Pluralsight,9
IoT Fundamentals 385,IoT,Udemy,8
Unreal Engine Fundamentals 386,Unreal Engine,Pluralsight,4
IoT Fundamentals 387,IoT,Coursera,5
VR Fundamentals 388,VR,edX,6
Data Science Fundamentals 389,Data Science,Skillshare,5
Kubernetes Fundamentals 390,Kubernetes,Coursera,11
Quantum Computing Fundamentals 391,Quantum Computing,LinkedIn Learning,3
Kubernetes Fundamentals 392,Kubernetes,Skillshare,4
Docker Fundamentals 393,Docker,LinkedIn Learning,10
CI/CD Fundamentals 394,CI/CD,Coursera,2
Unreal Engine Fundamentals 395,Unreal Engine,edX,3
Blockchain Fundamentals 396,Blockchain,Udemy,11
Django Fundamentals 397,Django,Coursera,3
TypeScript Fundamentals 398,TypeScript,Coursera,10
Cloud Computing Fundamentals 399,Cloud Computing,Pluralsight,5
Docker Fundamentals 400,Docker,Udemy,3
VR Fundamentals 401,VR,LinkedIn Learning,7
Microservices Fundamentals 402,Microservices,Coursera,4
React Fundamentals 403,React,LinkedIn Learning,4
VR Fundamentals 404,VR,Pluralsight,7
Kubernetes Fundamentals 405,Kubernetes,LinkedIn Learning,9
Metaverse Fundamentals 406,Metaverse,LinkedIn Learning,7
Quantum Computing Fundamentals 407,Quantum Computing,edX,4
Excel Fundamentals 408,Excel,Coursera,3
Robotics Fundamentals 409,Robotics,LinkedIn Learning,9
Power BI Fundamentals 410,Power BI,Coursera,12
Spark Fundamentals 411,Spark,Pluralsight,4
PyTorch Fundamentals 412,PyTorch,edX,7
Unity Fundamentals 413,Unity,Pluralsight,5
Machine Learning Fundamentals 414,Machine Learning,edX,8
Git Fundamentals 415,Git,Skillshare,6
Kafka Fundamentals 416,Kafka,Coursera,7
Microservices Fundamentals 417,Microservices,edX,11
OpenCV Fundamentals 418,OpenCV,Skillshare,3
AI Fundamentals 419,AI,Coursera,4
Deep Learning Fundamentals 420,Deep Learning,Coursera,6
Python Fundamentals 421,Python,edX,12
VR Fundamentals 422,VR,Coursera,7
NoSQL Fundamentals 423,NoSQL,LinkedIn Learning,9
DevOps Fundamentals 424,DevOps,edX,5
Blockchain Fundamentals 425,Blockchain,Udemy,4
Metaverse Fundamentals 426,Metaverse,Skillshare,11
Angular Fundamentals 427,Angular,Coursera,2
GCP Fundamentals 428,GCP,LinkedIn Learning,12
C# Fundamentals 429,C#,Skillshare,8
Deep Learning Fundamentals 430,Deep Learning,LinkedIn Learning,12
R Fundamentals 431,R,Pluralsight,5
NoSQL Fundamentals 432,NoSQL,Skillshare,5
C++ Fundamentals 433,C++,Skillshare,9
Kubernetes Fundamentals 434,Kubernetes,LinkedIn Learning,2
Spring Boot Fundamentals 435,Spring Boot,Udemy,12
Kafka Fundamentals 436,Kafka,edX,4
Flask Fundamentals 437,Flask,Udemy,7
Unity Fundamentals 438,Unity,Coursera,4
CI/CD Fundamentals 439,CI/CD,Udemy,9
Microservices Fundamentals 440,Microservices,Skillshare,7
Spring Boot Fundamentals 441,Spring Boot,Pluralsight,10
Kafka Fundamentals 442,Kafka,edX,5
Microservices Fundamentals 443,Microservices,Coursera,12
TypeScript Fundamentals 444,TypeScript,edX,4
Kubernetes Fundamentals 445,Kubernetes,Skillshare,11
Spark Fundamentals 446,Spark,LinkedIn Learning,4
Java Fundamentals 447,Java,Pluralsight,9
Spring Boot Fundamentals 448,Spring Boot,edX,9
Spark Fundamentals 449,Spark,Udemy,12
Robotics Fundamentals 450,Robotics,Coursera,2
Vue.js Fundamentals 451,Vue.js,Coursera,11
Data Science Fundamentals 452,Data Science,edX,9
Flask Fundamentals 453,Flask,Udemy,3
Cloud Computing Fundamentals 454,Cloud Computing,Skillshare,3
TypeScript Fundamentals 455,TypeScript,Skillshare,12
Metaverse Fundamentals 456,Metaverse,Coursera,6
Blockchain Fundamentals 457,Blockchain,Coursera,4
Metaverse Fundamentals 458,Metaverse,Udemy,11
R Fundamentals 459,R,Coursera,11
Spring Boot Fundamentals 460,Spring Boot,Pluralsight,3
Unreal Engine Fundamentals 461,Unreal Engine,Skillshare,6
AWS Fundamentals 462,AWS,edX,8
Node.js Fundamentals 463,Node.js,Skillshare,6
SQL Fundamentals 464,SQL,Pluralsight,11
5G Fundamentals 465,5G,Coursera,5
C# Fundamentals 466,C#,Udemy,5
Hadoop Fundamentals 467,Hadoop,edX,2
JavaScript Fundamentals 468,JavaScript,Udemy,9
TypeScript Fundamentals 469,TypeScript,Udemy,2
Blockchain Fundamentals 470,Blockchain,Udemy,12
Excel Fundamentals 471,Excel,edX,5
Data Science Fundamentals 472,Data Science,Pluralsight,11
AI Fundamentals 473,AI,Udemy,11
Robotics Fundamentals 474,Robotics,edX,7
Angular Fundamentals 475,Angular,Coursera,2
IoT Fundamentals 476,IoT,Pluralsight,2
IoT Fundamentals 477,IoT,Coursera,8
Data Science Fundamentals 478,Data Science,Skillshare,12
Blockchain Fundamentals 479,Blockchain,LinkedIn Learning,9
Kubernetes Fundamentals 480,Kubernetes,edX,7
Python Fundamentals 481,Python,Udemy,9
Spring Boot Fundamentals 482,Spring Boot,Udemy,8
TensorFlow Fundamentals 483,TensorFlow,Pluralsight,10
SQL Fundamentals 484,SQL,LinkedIn Learning,4
AI Fundamentals 485,AI,edX,2
Unreal Engine Fundamentals 486,Unreal Engine,Udemy,12
Metaverse Fundamentals 487,Metaverse,edX,4
Quantum Computing Fundamentals 488,Quantum Computing,Udemy,9
Hadoop Fundamentals 489,Hadoop,edX,4
GCP Fundamentals 490,GCP,Pluralsight,6
TensorFlow Fundamentals 491,TensorFlow,Coursera,8
TensorFlow Fundamentals 492,TensorFlow,Skillshare,5
Unity Fundamentals 493,Unity,Skillshare,7
Metaverse Fundamentals 494,Metaverse,Udemy,10
NoSQL Fundamentals 495,NoSQL,Skillshare,6
Unreal Engine Fundamentals 496,Unreal Engine,edX,5
Node.js Fundamentals 497,Node.js,edX,4
